['527', '580', '122', '717', '301', '29']
['21', '100', '344', '219', '163', '53']
['151', '481', '129', '74', '116', '688']
['623', '531', '44', '256', '669', '416']
['476', '36', '535', '148', '590', '575']
['355', '460', '127', '512', '455', '470']
['194', '97', '392', '419', '518', '346']
['34', '508', '693', '106', '62', '131']
['607', '130', '486', '618', '47', '211']
['255', '234', '208', '438', '697', '625']
['593', '461', '640', '233', '294', '123']
['561', '210', '678', '681', '68', '46']
['188', '10', '38', '444', '245', '149']
['647', '711', '198', '375', '622', '701']
['152', '222', '351', '332', '379', '443']
['144', '223', '572', '523', '585', '313']
['530', '153', '296', '698', '539', '202']
['111', '621', '280', '663', '543', '614']
['616', '549', '644', '496', '436', '406']
['70', '495', '231', '637', '376', '628']
['381', '676', '31', '104', '297', '37']
['479', '312', '72', '598', '285', '387']
['649', '220', '525', '439', '321', '226']
['98', '14', '503', '699', '434', '217']
['52', '413', '661', '660', '391', '409']
['189', '254', '652', '35', '613', '11']
['500', '673', '415', '466', '109', '57']
['576', '475', '160', '705', '506', '4']
['282', '596', '664', '95', '659', '170']
['658', '492', '115', '425', '154', '397']
['314', '75', '651', '249', '140', '323']
['599', '420', '408', '5', '174', '488']
['9', '61', '298', '85', '550', '573']
['552', '563', '612', '353', '50', '487']
['58', '418', '215', '522', '671', '361']
['121', '141', '709', '589', '269', '337']
['427', '55', '526', '410', '196', '620']
['474', '712', '412', '28', '203', '176']
['491', '7', '195', '367', '212', '464']
['448', '13', '157', '411', '243', '206']
['605', '265', '67', '3', '278', '603']
['317', '167', '683', '300', '400', '402']
['719', '184', '27', '246', '238', '650']
['293', '463', '529', '672', '271', '703']
['643', '120', '308', '48', '666', '566']
['80', '559', '645', '112', '359', '586']
['20', '259', '287', '172', '0', '251']
['328', '142', '364', '478', '101', '320']
['360', '656', '499', '94', '483', '398']
['657', '289', '636', '662', '8', '524']
['441', '147', '515', '509', '92', '675']
['696', '218', '462', '451', '568', '264']
['237', '570', '288', '290', '377', '363']
['334', '502', '641', '467', '311', '205']
['193', '164', '368', '440', '350', '281']
['39', '118', '146', '96', '404', '457']
['562', '276', '25', '177', '428', '594']
['497', '633', '421', '617', '417', '407']
['236', '322', '581', '349', '433', '507']
['133', '6', '579', '560', '258', '165']
['84', '274', '687', '674', '695', '544']
['482', '374', '624', '12', '185', '627']
['537', '667', '1', '386', '155', '91']
['43', '268', '567', '93', '389', '83']
['551', '284', '554', '352', '277', '76']
['139', '228', '158', '341', '354', '216']
['357', '435', '437', '204', '634', '260']
['292', '578', '388', '569', '15', '253']
['325', '110', '135', '704', '235', '601']
['468', '345', '691', '343', '324', '347']
['540', '452', '609', '338', '183', '494']
['555', '169', '107', '422', '548', '128']
['442', '40', '180', '335', '602', '396']
['510', '18', '513', '42', '244', '247']
['186', '230', '175', '582', '459', '365']
['615', '393', '79', '326', '565', '648']
['504', '89', '73', '702', '630', '143']
['159', '56', '225', '221', '318', '430']
['145', '447', '604', '241', '275', '372']
['306', '330', '103', '309', '286', '646']
['201', '431', '51', '329', '99', '82']
['465', '692', '528', '493', '156', '171']
['534', '340', '250', '263', '333', '134']
['86', '304', '209', '190', '477', '583']
['642', '182', '708', '262', '626', '242']
['710', '136', '366', '87', '102', '126']
['272', '168', '132', '631', '473', '181']
['54', '119', '677', '283', '252', '446']
['266', '472', '370', '574', '414', '59']
['501', '429', '588', '90', '454', '32']
['33', '395', '261', '369', '489', '639']
['16', '342', '469', '707', '453', '498']
['665', '505', '553', '30', '295', '606']
['592', '229', '371', '653', '564', '307']
['480', '541', '279', '24', '60', '405']
['679', '114', '166', '519', '546', '267']
['490', '179', '187', '162', '69', '390']
['383', '331', '125', '161', '670', '450']
['426', '339', '591', '517', '516', '686']
['303', '458', '213', '66', '63', '608']
['533', '445', '714', '716', '571', '484']
['694', '224', '65', '2', '654', '291']
['77', '655', '632', '232', '542', '117']
['514', '358', '611', '521', '49', '319']
['45', '124', '597', '424', '348', '394']
['299', '273', '558', '373', '207', '432']
['137', '619', '638', '635', '587', '399']
['138', '713', '305', '41', '449', '536']
['471', '380', '485', '26', '690', '327']
['316', '178', '556', '214', '423', '520']
['108', '689', '336', '257', '629', '17']
['610', '547', '239', '557', '71', '88']
['403', '718', '105', '22', '315', '150']
['19', '197', '532', '511', '384', '248']
['401', '113', '545', '356', '191', '595']
['81', '227', '382', '577', '668', '64']
['706', '270', '199', '200', '192', '310']
['600', '78', '302', '456', '23', '173']
['700', '682', '240', '362', '685', '680']
['584', '538', '684', '378', '715', '385']
