['657', '432', '957', '285', '954', '516', '690']
['717']
['631', '144', '910', '798', '746', '899', '792']
['239', '666', '591', '852', '406', '658', '741']
['161', '26', '345', '146', '568', '350', '252']
['599', '776', '89', '72', '793', '501', '828']
['208', '937', '799', '612', '769', '753', '713']
['290', '674', '30', '526', '204', '358', '131']
['193', '392', '682', '264', '614', '881', '530']
['273', '310', '479', '555', '188', '901', '783']
['740', '198', '245', '46', '261', '465', '589']
['850', '195', '443', '715', '454', '854', '826']
['407', '149', '446', '809', '2', '927', '181']
['160', '10', '637', '84', '586', '677', '417']
['848', '106', '333', '487', '236', '115', '952']
['857', '277', '294', '232', '92', '548', '756']
['667', '900', '557', '885', '410', '687', '40']
['856']
['736', '24', '730', '602', '329', '279', '887']
['222', '744', '731', '138', '680', '128', '493']
['737', '751', '251', '675', '659', '829', '636']
['609', '511', '58', '274', '85', '157', '912']
['391', '172', '651', '16', '169', '804', '81']
['969', '453', '242', '670', '641', '458', '735']
['888', '800', '460', '189', '837', '111', '48']
['897', '347', '409', '159', '484', '871', '289']
['35', '825', '135', '515', '679', '214', '209']
['866', '971', '608', '302', '574', '331', '626']
['496']
['601', '583', '598', '133', '355', '604', '305']
['664', '567', '265', '52', '447', '546', '260']
['174', '970', '413', '822', '750', '694', '179']
['761', '73', '114', '217', '839', '137', '38']
['55', '21', '402', '964', '554', '889', '908']
['69', '943', '580', '824', '945', '348', '972']
['581', '853', '332', '434', '951', '317', '483']
['534', '527', '700', '634', '299', '312', '649']
['905', '719', '300', '328', '408', '359', '732']
['727', '593', '357', '319', '308', '620', '894']
['537', '183', '141', '318', '701', '323', '480']
['781', '481', '693', '293', '775', '4', '488']
['349']
['116', '865', '898', '400', '311', '32', '452']
['109', '113', '512', '226', '34', '953', '968']
['819', '324', '497', '558', '691', '96', '246']
['872', '42', '126', '464', '119', '896', '882']
['346', '253', '403', '361', '710', '145', '399']
['393', '405', '248', '227', '306', '478', '372']
['364', '650', '420', '966', '842', '617', '827']
['544', '342', '835', '528', '961', '56', '356']
['596', '390', '579', '83', '8', '797', '18']
['716', '764', '298', '1', '564', '276', '646']
['752', '65', '424', '635', '623', '575', '832']
['697', '422', '468', '304', '280', '363', '696']
['438', '210', '54', '754', '191', '98', '240']
['729', '728', '925', '536', '130', '80', '404']
['703', '155', '560', '82', '241', '272', '505']
['292', '74', '278', '965', '785', '470', '386']
['543', '610', '164', '739', '642', '101', '698']
['924', '440', '556', '618', '847', '117', '681']
['394', '456', '451', '152', '175', '845', '942', '491']
['429', '167', '573', '590', '91', '93', '782']
['949', '603', '36', '184', '940', '44', '107']
['684', '695', '49', '928', '86', '958', '211']
['102', '669', '378', '765', '321', '625', '469']
['570', '223', '401', '768', '485', '930', '757']
['638', '64', '552', '578', '874', '926', '180']
['66', '633', '762', '909', '801', '838', '643']
['249', '855', '863', '430', '244', '605', '738']
['672', '780', '67', '41', '918', '844', '367']
['723', '903', '747', '494', '12', '587', '212']
['176', '15', '185', '778', '542', '231', '513']
['444', '569', '384', '194', '820', '228', '28']
['110', '411', '654', '334', '812', '140', '777']
['142', '859', '340', '960', '199', '671', '877']
['733', '653', '890', '550', '153', '441', '584']
['412', '935', '423', '124', '143', '892', '791']
['473', '283', '509', '931', '807', '182', '708']
['382', '836', '492', '489', '256', '498', '78']
['902', '338', '815', '60', '705', '582', '215']
['281', '947', '758', '374', '197', '594', '876']
['3', '427', '120', '482', '418', '154', '891']
['243', '802', '929', '9', '767', '449', '370']
['963', '886', '862', '475', '398', '325', '547']
['518', '545', '476', '787', '385', '97', '148']
['607', '247', '95', '284', '362', '893', '814']
['431', '255', '535', '39', '218', '381', '597']
['955', '611', '647', '190', '858', '224', '562']
['275', '366', '90', '147', '878', '531', '946']
['31', '33', '770', '655', '786', '514', '760']
['344', '936', '352', '745', '771', '840', '205']
['510', '270', '19', '726', '29', '258', '221']
['466', '834', '816', '419', '720', '699', '129']
['151', '99', '301', '343', '967', '662', '907']
['540']
['718', '445', '267', '158', '259', '808', '437']
['206', '656', '474', '45', '202', '123', '263']
['354', '389', '112', '588', '150', '187', '162']
['873', '104', '549', '541', '286', '843', '944']
['803', '257', '648', '229', '463', '502', '920']
['911', '353', '805', '860', '661', '13', '948']
['233', '11', '702', '774', '365', '849', '132']
['235', '136', '616', '794', '529', '763', '287']
['870', '724', '171', '207', '810', '220', '50']
['686', '288', '371', '170', '490', '821', '25']
['88', '796', '339', '627', '913', '933', '6']
