['738', '574', '556', '722', '527', '759', '18', '89', '684', '257', '188', '291', '21', '562', '336', '48', '584', '139', '0', '273', '726', '236', '143', '80', '462', '370', '765', '757', '390', '502', '655', '309']
['496', '463', '480', '37', '511', '140', '75', '65', '718', '613', '362', '176', '7', '162', '366', '42', '321', '87', '308', '651', '532', '570', '773', '652', '671', '282', '525', '690', '126', '375', '581', '443']
['703', '429', '100', '310', '633', '495', '615', '627', '523', '412', '283', '740', '261', '548', '251', '151', '796', '647', '256', '499', '401', '355', '194', '393', '342', '450', '107', '169', '408', '516', '749', '643']
['752', '385', '413', '501', '49', '637', '35', '263', '127', '675', '168', '163', '559', '173', '748', '190', '535', '430', '714', '553', '734', '229', '564', '300', '158', '66', '732', '295', '699', '728', '506', '154']
['434', '724', '602', '317', '45', '578', '742', '123', '571', '396', '641', '621', '565', '90', '279', '640', '672', '761', '762', '369', '11', '55', '744', '343', '250', '297', '611', '445', '587', '514', '533', '617']
['612', '156', '212', '753', '367', '318', '232', '583', '712', '183', '433', '620', '67', '327', '130', '88', '214', '414', '252', '224', '729', '287', '797', '368', '193', '601', '537', '405', '302', '125', '213', '267']
['260', '294', '423', '133', '95', '208', '705', '546', '683', '106', '94', '771', '62', '13', '622', '358', '266', '179', '54', '170', '73', '323', '650', '424', '460', '696', '216', '40', '693', '113', '388', '781']
['51', '625', '681', '2', '665', '470', '361', '337', '333', '674', '92', '76', '313', '243', '293', '673', '91', '449', '219', '330', '772', '520', '474', '284', '774', '577', '381', '69', '258', '245', '560', '635']
['528', '679', '99', '376', '600', '220', '150', '618', '210', '58', '530', '711', '167', '44', '593', '619', '415', '161', '575', '39', '328', '178', '448', '785', '43', '374', '603', '442', '119', '472', '713', '61']
['59', '786', '227', '686', '436', '237', '591', '661', '678', '515', '688', '145', '215', '704', '136', '46', '152', '558', '490', '131', '569', '398', '331', '623', '544', '83', '731', '286', '221', '32', '395', '105']
['775', '549', '483', '209', '428', '246', '335', '488', '81', '721', '230', '38', '524', '110', '141', '798', '225', '248', '519', '277', '579', '776', '104', '377', '727', '747', '103', '576', '692', '389', '347', '518']
['30', '522', '491', '70', '344', '276', '659', '278', '543', '326', '3', '34', '147', '33', '274', '707', '709', '598', '93', '756', '111', '763', '481', '467', '457', '197', '494', '512', '79', '322', '134', '254']
['22', '241', '782', '29', '68', '175', '129', '120', '138', '407', '568', '717', '777', '653', '180', '356', '53', '697', '280', '311', '204', '184', '189', '590', '406', '20', '538', '439', '78', '301', '275', '719']
['380', '666', '628', '420', '281', '745', '153', '566', '351', '299', '240', '594', '404', '592', '159', '315', '632', '23', '676', '296', '419', '31', '304', '670', '239', '9', '384', '646', '394', '397', '324', '360']
['1', '682', '526', '482', '303', '572', '117', '733', '606', '664', '121', '792', '476', '350', '64', '203', '114', '597', '760', '57', '634', '217', '725', '542', '790', '192', '25', '746', '698', '124', '513', '329']
['783', '736', '585', '410', '769', '791', '715', '196', '599', '416', '122', '770', '265', '550', '132', '468', '109', '10', '218', '222', '452', '182', '160', '531', '206', '36', '702', '604', '471', '98', '198', '758']
['102', '191', '259', '789', '403', '56', '766', '340', '306', '41', '451', '399', '137', '27', '15', '794', '157', '478', '554', '788', '270', '667', '509', '148', '680', '663', '71', '479', '365', '115', '128', '86']
['363', '307', '338', '517', '234', '187', '669', '498', '242', '687', '172', '787', '112', '19', '63', '85', '586', '82', '364', '271', '557', '485', '743', '402', '255', '228', '689', '288', '47', '534', '425', '177']
['272', '477', '454', '465', '202', '492', '319', '493', '626', '716', '645', '418', '793', '456', '249', '723', '563', '710', '489', '657', '392', '497', '164', '50', '354', '642', '654', '383', '427', '795', '629', '235']
['552', '312', '607', '264', '755', '639', '233', '379', '72', '149', '486', '504', '505', '346', '211', '444', '541', '649', '784', '135', '353', '268', '144', '609', '207', '289', '624', '605', '244', '8', '701', '551']
['372', '547', '84', '409', '799', '435', '608', '648', '656', '432', '473', '741', '101', '466', '441', '469', '588', '320', '96', '708', '500', '231', '487', '573', '610', '24', '357', '325', '171', '373', '14', '644']
['735', '510', '341', '668', '345', '142', '17', '567', '349', '6', '464', '382', '595', '28', '417', '305', '662', '116', '253', '118', '459', '694', '458', '269', '750', '16', '195', '205', '658', '582', '108', '764']
['181', '580', '155', '438', '200', '561', '52', '700', '359', '4', '174', '146', '334', '779', '754', '223', '262', '720', '503', '636', '332', '339', '706', '660', '484', '400', '638', '60', '453', '431', '285', '440']
['348', '186', '677', '730', '378', '691', '247', '461', '386', '298', '780', '74', '455', '166', '422', '475', '97', '631', '540', '614', '555', '751', '290', '165', '589', '411', '596', '768', '529', '737', '507', '371']
['446', '521', '314', '316', '536', '77', '426', '616', '685', '545', '447', '5', '199', '201', '778', '739', '352', '508', '539', '185', '695', '292', '391', '421', '630', '387', '238', '437', '26', '767', '12', '226']
