['740', '959', '335']
['31', '537', '623']
['320', '376', '798']
['789', '437', '938']
['479', '714', '302']
['304', '626', '220']
['706', '55', '273']
['224', '695', '493']
['996', '939', '321']
['542', '785', '472']
['253', '628', '783']
['843', '712', '240']
['545', '859', '225']
['825', '884', '654']
['735', '491', '796']
['182', '462', '384']
['336', '921', '912']
['713', '328', '268']
['454', '480', '613']
['216', '657', '254']
['829', '666', '787']
['668', '482', '827']
['386', '999', '644']
['734', '646', '640']
['147', '205', '288']
['505', '195', '309']
['109', '120', '463']
['381', '239', '928']
['439', '830', '518']
['329', '168', '745']
['293', '700', '324']
['66', '588', '746']
['985', '516', '175']
['791', '173', '192']
['968', '251', '682']
['863', '294', '484']
['834', '675', '397']
['531', '241', '271']
['681', '172', '442']
['441', '438', '14']
['497', '494', '207']
['852', '365', '59']
['121', '33', '650']
['178', '990', '693']
['54', '997', '648']
['139', '118', '838']
['670', '888', '258']
['768', '117', '223']
['855', '163', '308']
['886', '821', '528']
['927', '601', '833']
['83', '214', '577']
['880', '548', '574']
['289', '544', '413']
['81', '281', '276']
['143', '561', '667']
['600', '340', '759']
['213', '372', '75']
['501', '760', '227']
['616', '218', '270']
['80', '130', '689']
['823', '99', '890']
['468', '946', '868']
['440', '671', '403']
['361', '229', '984']
['582', '525', '341']
['391', '131', '346']
['133', '499', '355']
['338', '738', '217']
['255', '427', '621']
['964', '770', '837']
['643', '141', '9']
['624', '782', '934']
['960', '322', '196']
['134', '193', '795']
['705', '991', '690']
['125', '426', '32']
['127', '930', '914']
['779', '298', '344']
['416', '896', '436']
['732', '424', '560']
['975', '208', '573']
['58', '894', '407']
['847', '820', '162']
['352', '727', '945']
['13', '266', '871']
['951', '250', '976']
['373', '451', '906']
['571', '815', '422']
['660', '954', '295']
['883', '986', '716']
['916', '981', '965']
['614', '398', '753']
['116', '299', '722']
['412', '51', '16']
['635', '319', '74']
['532', '775', '237']
['967', '619', '766']
['423', '459', '315']
['836', '46', '221']
['678', '126', '508']
['296', '197', '656']
['160', '771', '370']
['284', '956', '715']
['638', '674', '817']
['709', '718', '622']
['510', '181', '447']
['631', '371', '212']
['887', '467', '10']
['29', '364', '558']
['840', '191', '639']
['421', '547', '751']
['418', '446', '506']
['183', '719', '86']
['786', '816', '303']
['165', '489', '858']
['948', '261', '155']
['517', '872', '339']
['963', '778', '435']
['98', '490', '875']
['8', '797', '49']
['161', '38', '135']
['867', '188', '327']
['77', '711', '385']
['278', '312', '669']
['17', '733', '145']
['949', '978', '156']
['411', '277', '357']
['483', '832', '37']
['691', '495', '565']
['603', '184', '262']
['119', '263', '911']
['841', '200', '487']
['359', '402', '947']
['264', '475', '762']
['78', '730', '351']
['242', '95', '108']
['974', '717', '701']
['878', '507', '114']
['301', '26', '535']
['342', '177', '82']
['931', '28', '977']
['844', '153', '392']
['73', '664', '971']
['677', '845', '396']
['957', '720', '620']
['596', '314', '731']
['148', '286', '481']
['592', '953', '754']
['469', '503', '794']
['926', '935', '234']
['950', '252', '702']
['724', '546', '756']
['807', '607', '853']
['736', '856', '686']
