['506', '469', '386', '353', '369']
['740', '791', '690', '347', '256']
['121', '66', '718', '251', '544']
['91', '646', '521', '921', '157']
['350', '427', '546', '285', '951']
['954', '379', '602', '272', '453']
['878', '62', '191', '779', '460']
['611', '384', '168', '950', '224']
['816', '136', '45', '727', '414']
['370', '276', '9', '922', '156']
['643', '310', '204', '535', '592']
['569', '621', '305', '904', '966']
['519', '530', '726', '392', '63']
['513', '929', '188', '589', '499']
['788', '705', '327', '263', '410']
['371', '448', '120', '291', '208']
['415', '171', '37', '588', '25']
['635', '721', '795', '455', '175']
['753', '50', '581', '949', '799']
['59', '147', '991', '642', '663']
['909', '247', '801', '328', '458']
['43', '948', '539', '359', '219']
['810', '89', '650', '163', '10']
['914', '583', '426', '337', '277']
['900', '522', '317', '714', '706']
['264', '492', '394', '437', '396']
['925', '60', '333', '271', '978']
['456', '289', '965', '673', '74']
['154', '77', '752', '238', '892']
['259', '983', '356', '717', '936']
['391', '293', '113', '173', '886']
['704', '411', '58', '877', '720']
['893', '882', '4', '829', '640']
['847', '744', '725', '970', '46']
['837', '677', '764', '24', '831']
['381', '749', '814', '696', '17']
['739', '723', '883', '476', '658']
['315', '354', '930', '959', '186']
['876', '507', '944', '329', '126']
['672', '470', '490', '657', '603']
['355', '334', '230', '57', '269']
['632', '400', '700', '545', '593']
['692', '421', '262', '813', '830']
['824', '406', '187', '863', '917']
['294', '67', '604', '281', '441']
['768', '698', '267', '591', '800']
['683', '608', '95', '301', '561']
['567', '660', '18', '235', '781']
['283', '879', '7', '566', '12']
['487', '931', '444', '939', '556']
['496', '924', '432', '249', '537']
['180', '995', '732', '808', '413']
['98', '220', '145', '319', '928']
['853', '881', '11', '32', '573']
['728', '223', '51', '849', '431']
['528', '956', '861', '3', '2']
['792', '141', '482', '255', '287']
['862', '531', '311', '20', '771']
['671', '678', '971', '306', '757']
['852', '689', '14', '165', '341']
['934', '447', '619', '596', '214']
['161', '302', '851', '796', '836']
['475', '833', '981', '41', '227']
['756', '155', '653', '244', '378']
['514', '473', '85', '199', '670']
['577', '571', '809', '937', '790']
['912', '274', '79', '676', '479']
['617', '158', '857', '450', '625']
['623', '964', '408', '114', '48']
['442', '606', '489', '343', '641']
['562', '376', '751', '86', '159']
['338', '697', '648', '284', '457']
['409', '578', '363', '782', '859']
['468', '536', '481', '902', '151']
['242', '734', '368', '898', '128']
['992', '899', '873', '761', '348']
['973', '16', '375', '19', '982']
['75', '430', '390', '866', '438']
['755', '775', '215', '103', '639']
['65', '357', '510', '6', '913']
['887', '630', '273', '380', '221']
['741', '105', '96', '309', '189']
['716', '614', '694', '655', '135']
['770', '225', '618', '664', '586']
['540', '148', '542', '318', '416']
['467', '835', '23', '622', '629']
['633', '789', '736', '841', '92']
['143', '600', '675', '360', '576']
['288', '984', '525', '477', '870']
['488', '777', '265', '845', '822']
['222', '938', '637', '805', '598']
['541', '243', '119', '39', '686']
['843', '745', '111', '527', '996']
['110', '201', '680', '803', '595']
['975', '940', '382', '367', '871']
['493', '960', '21', '240', '325']
['778', '855', '296', '231', '234']
['760', '958', '515', '31', '627']
['895', '884', '80', '26', '667']
['192', '195', '207', '71', '707']
['286', '644', '750', '820', '167']
['729', '774', '116', '133', '888']
['874', '34', '890', '254', '270']
['674', '549', '70', '169', '952']
['834', '61', '746', '762', '615']
['783', '786', '268', '162', '927']
['402', '743', '969', '97', '44']
['605', '72', '582', '748', '923']
['747', '766', '864', '304', '652']
['869', '389', '977', '81', '351']
['695', '52', '585', '258', '131']
['202', '342', '218', '94', '563']
['352', '40', '93', '434', '149']
['405', '738', '999', '568', '125']
['451', '823', '282', '483', '518']
['485', '130', '152', '580', '872']
['471', '428', '412', '609', '466']
['645', '90', '42', '724', '253']
['691', '213', '419', '30', '811']
['547', '13', '626', '649', '401']
['557', '919', '298', '449', '731']
['491', '339', '132', '681', '737']
['543', '464', '28', '257', '665']
['574', '570', '478', '832', '239']
['372', '733', '821', '331', '998']
['217', '47', '100', '763', '439']
['794', '565', '659', '517', '78']
['947', '785', '702', '654', '102']
['597', '722', '693', '986', '897']
['335', '906', '397', '858', '844']
['142', '894', '22', '139', '715']
['682', '854', '8', '711', '233']
['373', '903', '908', '551', '246']
['935', '942', '620', '840', '64']
['245', '361', '848', '364', '344']
['534', '533', '181', '946', '631']
['891', '638', '880', '137', '290']
['793', '216', '422', '559', '661']
['564', '365', '35', '196', '933']
['292', '730', '538', '943', '118']
['860', '124', '358', '500', '69']
['679', '387', '758', '713', '232']
['684', '846', '122', '462', '140']
['868', '209', '719', '106', '666']
['579', '399', '989', '252', '101']
['529', '688', '708', '1', '994']
['212', '850', '526', '228', '712']
['27', '170', '699', '443', '172']
['345', '773', '710', '552', '953']
['424', '807', '838', '76', '505']
['742', '374', '584', '226', '248']
['616', '117', '38', '504', '190']
['185', '423', '312', '417', '955']
['307', '932', '182', '433', '687']
['279', '867', '146', '395', '160']
['920', '669', '787', '575', '418']
['129', '198', '73', '385', '205']
['553', '472', '56', '166', '990']
['962', '388', '266', '197', '134']
['501', '804', '599', '610', '362']
['164', '420', '153', '206', '303']
['806', '127', '429', '607', '842']
['109', '523', '980', '911', '297']
['465', '754', '454', '961', '503']
['398', '765', '55', '280', '865']
['963', '54', '502', '321', '974']
['480', '613', '83', '29', '179']
['260', '349', '910', '905', '115']
['776', '82', '826', '340', '445']
['486', '916', '33', '901', '495']
['474', '957', '554', '332', '463']
['484', '668', '885', '275', '967']
['498', '295', '49', '628', '88']
['84', '183', '968', '366', '759']
['36', '524', '709', '123', '941']
['404', '926', '572', '624', '825']
['308', '532', '647', '313', '324']
['68', '200', '53', '446', '435']
['915', '322', '945', '393', '918']
['87', '979', '144', '685', '278']
['383', '229', '107', '174', '177']
['237', '299', '326', '703', '819']
['176', '907', '178', '138', '407']
['330', '784', '548', '993', '250']
['997', '494', '587', '210', '772']
['662', '767', '812', '425', '511']
['798', '780', '520', '560', '516']
['508', '889', '817', '461', '802']
['550', '976', '828', '99', '590']
['594', '875', '459', '818', '150']
['261', '336', '827', '509', '601']
['651', '815', '346', '377', '896']
['636', '555', '972', '194', '735']
['612', '701', '634', '108', '656']
['184', '323', '988', '452', '320']
['839', '512', '193', '203', '985']
['300', '15', '403', '241', '5']
['104', '558', '436', '440', '856']
['211', '314', '797', '497', '0']
['112', '236', '316', '987', '769']
