['314', '199', '430', '153', '54', '230', '36', '444', '258', '450', '282', '289', '265', '297', '487', '354', '239', '217', '250', '489', '84', '224', '56', '242', '325']
['377', '284', '213', '420', '196', '452', '79', '449', '90', '395', '326', '49', '197', '21', '364', '379', '190', '73', '256', '138', '257', '488', '157', '166', '494']
['428', '267', '223', '211', '490', '438', '350', '426', '52', '205', '302', '208', '273', '425', '404', '468', '400', '286', '175', '212', '471', '312', '328', '351', '122']
['376', '155', '167', '112', '383', '437', '393', '88', '220', '66', '134', '4', '8', '442', '173', '40', '375', '372', '300', '391', '151', '13', '423', '485', '315']
['117', '467', '407', '39', '341', '93', '94', '357', '149', '460', '47', '118', '285', '457', '486', '107', '98', '347', '492', '10', '142', '397', '78', '64', '225']
['72', '160', '198', '479', '280', '269', '414', '121', '231', '25', '76', '427', '232', '69', '59', '7', '406', '441', '410', '362', '33', '281', '292', '463', '221']
['348', '148', '470', '113', '498', '311', '35', '480', '264', '156', '415', '304', '204', '338', '185', '77', '466', '165', '27', '28', '382', '401', '227', '68', '99']
['436', '120', '38', '266', '108', '235', '459', '92', '454', '101', '493', '131', '458', '336', '207', '55', '19', '474', '296', '272', '330', '172', '29', '478', '371']
['169', '299', '181', '168', '432', '63', '194', '177', '481', '287', '146', '422', '334', '259', '62', '373', '58', '200', '182', '222', '12', '253', '316', '87', '385']
['429', '290', '184', '119', '433', '237', '402', '104', '261', '17', '229', '214', '319', '48', '469', '41', '32', '133', '343', '396', '416', '215', '179', '291', '195']
['413', '15', '317', '298', '96', '278', '241', '440', '137', '136', '11', '171', '123', '161', '24', '3', '183', '83', '1', '226', '327', '86', '369', '475', '359']
['150', '85', '370', '170', '337', '34', '270', '97', '102', '246', '418', '115', '89', '216', '363', '344', '203', '405', '16', '51', '18', '309', '483', '412', '368']
['2', '147', '140', '388', '263', '409', '152', '482', '81', '308', '132', '234', '398', '424', '247', '22', '106', '339', '313', '50', '251', '254', '114', '275', '249']
['193', '180', '219', '294', '491', '472', '187', '378', '465', '390', '392', '57', '188', '361', '332', '293', '324', '127', '260', '346', '476', '464', '386', '186', '158']
['473', '374', '497', '484', '408', '431', '360', '60', '75', '129', '124', '240', '192', '387', '380', '20', '238', '109', '116', '154', '399', '461', '67', '74', '307']
['71', '209', '210', '421', '174', '268', '394', '14', '145', '434', '453', '352', '141', '252', '163', '139', '233', '111', '295', '248', '37', '42', '495', '389', '356']
['44', '46', '6', '276', '305', '53', '331', '130', '333', '340', '125', '201', '218', '403', '91', '0', '306', '446', '367', '342', '31', '310', '496', '135', '456']
['366', '435', '417', '301', '455', '144', '95', '384', '82', '349', '335', '206', '274', '255', '128', '126', '439', '277', '164', '65', '323', '279', '358', '202', '320']
['355', '448', '381', '9', '288', '451', '162', '26', '45', '262', '322', '447', '271', '236', '303', '365', '100', '243', '318', '103', '419', '345', '499', '176', '191']
['70', '110', '411', '244', '61', '477', '43', '80', '30', '159', '445', '283', '462', '228', '5', '105', '189', '329', '353', '178', '23', '143', '321', '245', '443']
