['138', '30', '153', '131', '367', '398', '408']
['473', '449', '241', '185', '307', '259', '34', '416', '229', '181', '189', '303', '359', '429', '263', '360', '144', '37', '436', '167', '256', '343', '240', '13', '412', '97']
['394', '456', '471', '304', '224', '386', '186', '410', '231', '342', '108', '209', '125', '45', '107', '434', '178', '165', '418', '298', '94', '41', '115', '179', '48', '351']
['11', '378', '26', '242', '453', '190', '246', '228', '438', '492', '309', '103', '203', '299', '197', '388', '244', '105', '60', '1', '59', '478', '8', '422', '286', '479']
['85', '208', '255', '88', '84', '308', '280', '49', '147', '431', '221', '488', '55', '497', '402', '439', '175', '7', '160', '279', '14', '445', '207', '211', '109', '200']
['468', '156', '89', '39', '262', '269', '237', '283', '31', '91', '464', '482', '403', '199', '440', '102', '326', '143', '472', '205', '346', '169', '64', '217', '118', '285']
['302', '22', '466', '9', '198', '447', '180', '432', '174', '270', '355', '12', '267', '281', '264', '42', '272', '182', '177', '213', '132', '387', '29', '287', '120', '316']
['273', '338', '236', '491', '458', '158', '119', '245', '443', '32', '305', '265', '260', '81', '289', '201', '284', '465', '50', '4', '220', '141', '451', '324', '234', '370']
['391', '75', '6', '330', '127', '35', '79', '248', '450', '396', '357', '495', '148', '154', '442', '383', '164', '341', '232', '350', '369', '252', '46', '137', '463', '480']
['275', '487', '235', '196', '239', '336', '293', '112', '481', '340', '155', '364', '462', '455', '499', '80', '225', '117', '219', '210', '404', '0', '171', '266', '2', '61']
['86', '344', '385', '349', '372', '92', '3', '469', '139', '44', '66', '382', '101', '358', '135', '496', '130', '476', '194', '381', '296', '366', '53', '274', '426', '204']
['421', '67', '230', '113', '90', '311', '176', '243', '56', '356', '474', '157', '142', '353', '168', '318', '134', '329', '384', '258', '334', '69', '238', '368', '414', '68']
['152', '457', '460', '58', '362', '446', '51', '121', '411', '498', '193', '277', '400', '63', '163', '333', '301', '477', '36', '78', '339', '406', '122', '377', '484', '337']
['99', '300', '315', '65', '424', '328', '18', '320', '430', '347', '375', '25', '222', '162', '188', '485', '161', '417', '249', '54', '467', '483', '227', '17', '5', '136']
['38', '294', '172', '399', '20', '10', '490', '461', '202', '149', '435', '413', '21', '401', '268', '43', '297', '77', '214', '448', '397', '187', '24', '392', '159', '128']
['379', '27', '191', '374', '133', '71', '126', '74', '226', '23', '419', '98', '423', '72', '82', '278', '310', '271', '216', '489', '19', '52', '390', '146', '233', '16']
['28', '57', '314', '192', '409', '393', '100', '437', '317', '111', '291', '332', '173', '405', '195', '313', '124', '494', '420', '292', '348', '70', '425', '475', '151', '452']
['493', '352', '365', '73', '247', '306', '93', '389', '415', '433', '206', '354', '95', '427', '145', '251', '312', '129', '454', '319', '428', '62', '106', '170', '361', '335']
['327', '321', '104', '380', '116', '371', '223', '76', '363', '33', '150', '441', '282', '459', '295', '47', '261', '331', '253', '123', '250', '290', '470', '166', '254', '373']
['395', '345', '407', '110', '486', '276', '444', '325', '257', '15', '140', '323', '87', '218', '376', '322', '183', '215', '288', '83', '40', '184', '96', '114', '212']
