['26', '185', '962', '579', '366', '892', '745', '132', '804', '176', '286', '45', '672', '855', '367', '629', '364', '913', '166', '84']
['995', '296', '656', '926', '523', '277', '33', '261', '635', '778', '179', '245', '749', '37', '81', '757', '305', '390', '51', '326']
['666', '289', '78', '43', '945', '614', '557', '122', '943', '118', '974', '803', '647', '170', '223', '762', '227', '833', '260', '139']
['748', '861', '376', '349', '594', '979', '556', '575', '482', '497', '758', '543', '776', '18', '947', '495', '537', '299', '503', '669']
['785', '73', '578', '203', '268', '177', '389', '130', '742', '606', '911', '108', '57', '265', '212', '266', '900', '304', '768', '618']
['754', '343', '127', '96', '684', '491', '781', '585', '321', '896', '891', '80', '484', '241', '792', '82', '889', '641', '568', '510']
['610', '840', '552', '141', '302', '19', '870', '507', '688', '864', '404', '224', '812', '200', '940', '502', '123', '753', '739', '694']
['319', '489', '710', '738', '949', '272', '416', '593', '198', '816', '344', '280', '252', '640', '603', '439', '548', '888', '90', '801']
['465', '814', '171', '429', '848', '448', '830', '894', '541', '490', '285', '29', '893', '808', '696', '146', '11', '719', '846', '969']
['712', '576', '512', '56', '597', '288', '358', '881', '274', '721', '798', '378', '581', '539', '899', '831', '13', '472', '32', '138']
['885', '724', '255', '83', '700', '763', '303', '971', '345', '954', '790', '427', '399', '777', '69', '760', '691', '632', '704', '25']
['920', '492', '560', '654', '99', '532', '181', '976', '50', '648', '160', '828', '419', '535', '1', '327', '306', '549', '714', '225']
['699', '566', '825', '386', '788', '400', '526', '408', '441', '381', '559', '100', '372', '970', '592', '919', '320', '226', '809', '316']
['880', '417', '16', '983', '243', '715', '283', '102', '418', '196', '469', '924', '752', '194', '282', '454', '799', '187', '842', '765']
['723', '633', '334', '93', '294', '110', '720', '423', '458', '202', '912', '504', '638', '273', '823', '829', '27', '298', '545', '409']
['103', '162', '967', '775', '944', '783', '779', '499', '52', '702', '314', '643', '519', '337', '28', '317', '475', '98', '395', '384']
['31', '796', '815', '20', '853', '445', '9', '637', '596', '65', '910', '438', '251', '569', '405', '904', '435', '17', '332', '264']
['60', '58', '498', '312', '890', '335', '392', '383', '370', '233', '521', '670', '121', '544', '999', '447', '249', '443', '216', '290']
['884', '607', '184', '221', '518', '235', '863', '872', '75', '908', '207', '602', '655', '917', '413', '886', '841', '550', '612', '895']
