['0', '1', '242', '253', '287', '8', '175', '187', '274', '2', '66', '75', '132', '134', '203', '311', '153', '272', '386', '20', '128', '192', '123', '139']
['351', '425', '170', '397', '426', '302', '184', '225', '165', '172', '193', '257', '469', '169', '171', '212', '246', '275', '3', '6', '58', '100', '267', '97']
['438', '104', '471', '46', '232', '234', '303', '393', '59', '263', '354', '361', '407', '90', '157', '233', '444', '472', '138', '218', '383', '403', '178', '213']
['378', '420', '195', '445', '467', '4', '44', '84', '278', '317', '83', '155', '322', '388', '201', '268', '284', '432', '282', '321', '382', '478', '5', '13']
['452', '479', '40', '72', '111', '55', '207', '286', '93', '277', '349', '427', '105', '312', '355', '419', '209', '258', '345', '350', '462', '18', '103', '256']
['22', '307', '402', '422', '80', '124', '266', '367', '390', '87', '112', '319', '88', '290', '374', '450', '183', '291', '446', '158', '162', '442', '458', '7']
['16', '260', '340', '17', '276', '337', '368', '26', '198', '216', '431', '457', '32', '243', '249', '251', '400', '271', '283', '330', '454', '41', '140', '190']
['214', '375', '42', '89', '436', '54', '120', '299', '314', '332', '176', '362', '62', '130', '173', '241', '377', '65', '182', '194', '318', '320', '9', '21']
['109', '226', '384', '463', '31', '208', '160', '248', '359', '60', '180', '301', '310', '161', '300', '313', '370', '10', '126', '392', '475', '52', '92', '101']
['342', '371', '53', '448', '81', '98', '369', '131', '261', '11', '91', '163', '50', '237', '125', '12', '14', '221', '166', '119', '338', '86', '296', '264']
['366', '219', '327', '389', '412', '189', '222', '15', '106', '363', '205', '236', '309', '316', '38', '358', '346', '23', '341', '401', '464', '250', '255', '391']
['57', '114', '159', '396', '61', '127', '353', '335', '19', '36', '186', '217', '356', '270', '306', '143', '147', '381', '325', '164', '465', '470', '415', '421']
['129', '416', '136', '224', '244', '51', '372', '410', '151', '85', '449', '144', '254', '459', '28', '231', '460', '142', '323', '414', '199', '252', '315', '405']
['94', '121', '45', '115', '339', '440', '24', '64', '429', '70', '137', '152', '228', '211', '461', '156', '376', '25', '29', '305', '33', '294', '135', '200']
['206', '259', '443', '96', '49', '262', '245', '398', '27', '437', '113', '167', '223', '357', '292', '295', '47', '73', '238', '30', '69', '360', '145', '280']
['418', '34', '202', '56', '265', '220', '477', '348', '406', '74', '133', '434', '336', '395', '474', '141', '185', '48', '82', '110', '285', '326', '329', '324']
['118', '77', '235', '279', '428', '304', '210', '154', '181', '352', '308', '35', '343', '39', '288', '328', '466', '37', '71', '197', '177', '230', '447', '281']
['347', '333', '76', '204', '380', '424', '364', '43', '168', '394', '196', '331', '269', '108', '476', '297', '227', '99', '468', '435', '174', '373', '456', '298']
['453', '188', '116', '117', '399', '239', '423', '240', '413', '473', '334', '146', '102', '247', '387', '63', '404', '191', '67', '149', '385', '409', '344', '179']
['379', '365', '78', '79', '430', '122', '215', '455', '95', '293', '107', '273', '289', '433', '229', '150', '408', '441', '411', '439', '417', '68', '451', '148']
