['g', 'fv', 'ak', 'ef', 'gd', 'ar', 'dp', 'h', 'ac', 'q']
['cr', 'ds', 'io', 'gf', 'ch', 'gw', 'fw', 'al', 'w', 'cf']
['fb', 'fp', 'bp', 'dc', 'c', 'kj', 'fh', 'iy', 'dm', 'em']
['hp', 'jm', 'at', 'ff', 'bs', 'ev', 'ew', 'b', 'dy', 'bm']
['iq', 'am', 'dz', 'iw', 'eo', 'jp', 'ao', 'ia', 'kg', 'd']
['hd', 'dl', 'if', 'az', 'fz', 'gn', 'u', 'x', 'bb', 't']
['gp', 'ha', 'kf', 'kl', 'ah', 'dq', 'l', 'e', 'hf', 's']
['go', 'ay', 'k', 'ib', 'ij', 'bu', 'eq', 'av', 'aw', 'jb']
['hk', 'co', 'fe', 'hr', 'ec', 'ho', 'iu', 'fj', 'cw', 'do']
['aa', 'du', 'gh', 'gs', 'ca', 'ir', 'ea', 'ge', 'gk', 'kd']
['bv', 'ee', 'jn', 'ap', 'n', 'hz', 'en', 'hq', 'cd', 'db']
['ji', 'gv', 'ey', 'jg', 'bc', 'v', 'df', 'br', 'ba', 'da']
['cc', 'cb', 'ez', 'gg', 'cs', 'bf', 'eh', 'ke', 'km', 'gl']
['gx', 'el', 'jk', 'jd', 'ic', 'gj', 'jl', 'ki', 'kh', 'eg']
['p', 'ik', 'aq', 'cg', 'cz', 'dw', 'bh', 'gr', 'ih', 'ax']
['fl', 'ed', 'jt', 'ja', 'dx', 'hi', 'gz', 'in', 'f', 'dk']
['ju', 'ai', 'dg', 'bl', 'hn', 'ie', 'ep', 'fq', 'hl', 'jh']
['kb', 'ig', 'dn', 'ci', 'ht', 'jy', 'dh', 'm', 'fd', 'z']
['di', 'gi', 'fg', 'de', 'ag', 'an', 'gq', 'aj', 'fm', 'by']
['ft', 'hv', 'ii', 'fi', 'a', 'er', 'fs', 'gy', 'jq', 'ej']
['bi', 'fo', 'is', 'it', 'ga', 'cu', 'et', 'bo', 'iz', 'y']
['bz', 'jr', 'ck', 'bk', 'gc', 'jj', 'il', 'hw', 'hx', 'hu']
['fn', 'cy', 'fy', 'gb', 'hb', 'fr', 'fx', 'be', 'es', 'fu']
['bd', 'hh', 'jz', 'ce', 'im', 'fc', 'bq', 'dt', 'ei', 'cl']
['af', 'dd', 'ka', 'js', 'eu', 'bt', 'zz', 'he', 'ip', 'jw']
['eb', 'as', 'bg', 'hy', 'hj', 'gt', 'ab', 'cq', 'o', 'ae']
['i', 'gm', 'r', 'hs', 'kn', 'bw', 'hg', 'fk', 'je', 'dj']
['hm', 'jx', 'cv', 'j', 'bx', 'kk', 'dv', 'cx', 'cn', 'cj']
['jc', 'ct', 'au', 'cp', 'jo', 'ex', 'ek', 'bn', 'gu', 'hc']
['jv', 'dr', 'ix', 'iv', 'ad', 'jf', 'bj', 'cm', 'kc', 'fa']
