['180', '454', '110', '118', '419', '63', '188', '405', '109', '151', '346', '251', '267', '19', '227', '316', '486', '79', '157', '429', '368', '431', '203', '4', '379', '414', '218', '169', '317', '97', '91', '443', '0', '5', '2', '24']
['3', '323', '298', '322', '126', '1', '381', '138', '281', '282', '100', '10', '343', '55', '380', '139', '6', '12', '7', '26', '8', '23', '9', '13', '11', '22', '15', '30', '17', '29', '18', '27', '20', '257', '31', '44']
['299', '32', '36', '33', '34', '35', '61', '37', '39', '38', '43', '40', '46', '42', '57', '47', '48', '49', '56', '51', '134', '52', '53', '54', '59', '62', '66', '64', '71', '65', '90', '67', '72', '68', '75', '14']
['388', '69', '80', '70', '74', '73', '78', '76', '83', '77', '84', '81', '86', '82', '85', '88', '89', '93', '101', '94', '99', '95', '96', '98', '103', '102', '107', '104', '119', '105', '113', '106', '108', '111', '120', '21']
['213', '114', '116', '117', '144', '124', '130', '125', '152', '127', '140', '128', '129', '131', '132', '133', '143', '135', '146', '136', '141', '137', '145', '147', '149', '148', '150', '153', '288', '155', '158', '156', '164', '159', '163', '41']
['190', '160', '183', '161', '167', '162', '165', '166', '171', '168', '174', '170', '176', '172', '178', '173', '179', '175', '337', '177', '184', '181', '185', '186', '215', '187', '193', '189', '195', '191', '192', '194', '202', '196', '199', '50']
['341', '197', '207', '198', '200', '201', '210', '204', '214', '205', '212', '208', '211', '209', '216', '217', '223', '219', '229', '220', '239', '221', '236', '222', '226', '224', '234', '225', '362', '228', '237', '230', '245', '231', '244', '60']
['439', '232', '240', '233', '247', '238', '242', '243', '353', '248', '263', '249', '254', '250', '258', '253', '255', '256', '262', '259', '274', '260', '276', '261', '277', '264', '268', '265', '269', '266', '271', '272', '273', '279', '295', '92']
['28', '280', '294', '283', '291', '284', '287', '285', '290', '286', '289', '292', '303', '293', '296', '297', '302', '301', '307', '304', '308', '305', '306', '310', '320', '311', '319', '312', '329', '313', '332', '314', '318', '315', '327', '115']
['252', '321', '324', '325', '331', '326', '339', '328', '371', '330', '333', '335', '338', '342', '344', '345', '347', '348', '349', '350', '356', '351', '352', '354', '360', '355', '361', '357', '366', '358', '363', '359', '364', '367', '369', '122']
['154', '372', '374', '373', '384', '375', '382', '376', '387', '377', '386', '378', '383', '385', '389', '390', '392', '391', '396', '393', '399', '403', '420', '404', '424', '406', '409', '407', '408', '410', '413', '411', '416', '412', '423', '182']
['142', '417', '418', '421', '427', '422', '425', '434', '445', '435', '448', '436', '452', '437', '451', '438', '453', '440', '447', '441', '442', '444', '460', '446', '461', '449', '455', '456', '457', '458', '459', '462', '464', '465', '475', '235']
['415', '466', '468', '467', '478', '469', '470', '472', '482', '473', '485', '474', '489', '476', '479', '477', '483', '480', '487', '481', '488', '484', '490', '491', '494', '246', '275', '300', '334', '340', '370', '395', '398', '401', '426', '430']
['471', '433', '463', '493', '16', '45', '87', '121', '206', '270', '309', '365', '397', '402', '432', '492', '25', '112', '241', '336', '400', '450', '58', '278', '428', '123', '495', '394']
