['235', '255', '338', '238', '312']
['141', '178', '394', '406', '471']
['292', '272', '55', '461', '261']
['327', '223', '365', '393', '66']
['449', '396', '158', '51', '216']
['202', '124', '64', '492', '39']
['347', '84', '133', '480', '366']
['326', '329', '182', '241', '121']
['24', '426', '239', '464', '217']
['10', '224', '162', '409', '201']
['486', '204', '248', '302', '427']
['270', '416', '15', '244', '28']
['348', '33', '454', '16', '282']
['91', '17', '43', '132', '321']
['36', '397', '496', '31', '237']
['186', '195', '277', '305', '418']
['371', '313', '173', '176', '209']
['485', '114', '90', '286', '362']
['175', '179', '283', '289', '78']
['153', '314', '350', '104', '139']
['334', '463', '421', '240', '404']
['379', '441', '317', '167', '65']
['41', '269', '339', '60', '198']
['425', '459', '87', '285', '48']
['73', '140', '357', '456', '110']
['373', '410', '356', '293', '401']
['20', '177', '194', '185', '164']
['37', '332', '318', '323', '445']
['295', '229', '142', '316', '109']
['169', '460', '342', '122', '192']
['4', '13', '92', '63', '440']
['138', '95', '309', '191', '351']
['489', '491', '233', '430', '94']
['442', '414', '330', '266', '263']
['370', '236', '128', '57', '267']
['143', '163', '117', '44', '46']
['303', '27', '447', '249', '452']
['428', '151', '112', '417', '171']
['444', '494', '225', '331', '118']
['242', '300', '361', '219', '281']
['458', '457', '290', '495', '180']
['490', '130', '5', '335', '402']
['380', '246', '493', '253', '187']
['381', '435', '2', '116', '30']
['136', '431', '144', '89', '301']
['443', '81', '135', '99', '474']
['469', '250', '85', '210', '399']
['415', '234', '497', '367', '61']
['368', '498', '221', '306', '429']
['376', '126', '297', '71', '40']
['19', '258', '3', '12', '53']
['278', '304', '307', '268', '38']
['72', '343', '349', '411', '166']
['340', '478', '375', '80', '22']
['181', '322', '398', '298', '390']
['385', '434', '391', '160', '54']
['67', '319', '32', '466', '287']
['58', '364', '275', '152', '101']
['299', '354', '438', '353', '257']
['483', '98', '296', '23', '482']
['422', '260', '113', '188', '56']
['337', '190', '374', '9', '26']
['487', '127', '465', '408', '222']
['206', '68', '75', '189', '256']
['400', '450', '18', '83', '215']
['488', '199', '100', '156', '107']
['436', '203', '473', '193', '467']
['148', '358', '157', '97', '214']
['218', '433', '392', '346', '150']
['211', '325', '369', '79', '82']
['50', '34', '308', '405', '453']
['77', '11', '29', '280', '93']
['69', '115', '279', '294', '228']
['382', '102', '155', '230', '120']
['384', '70', '149', '134', '184']
['207', '86', '479', '254', '76']
['103', '378', '21', '423', '6']
['420', '359', '336', '276', '131']
['419', '481', '388', '212', '7']
['407', '288', '213', '96', '499']
['484', '108', '227', '174', '123']
['324', '220', '389', '197', '47']
['345', '106', '341', '439', '387']
['386', '170', '352', '45', '245']
['252', '311', '451', '477', '413']
['226', '146', '62', '273', '377']
['232', '291', '14', '129', '88']
['251', '125', '165', '0', '355']
['137', '247', '360', '168', '320']
['145', '265', '196', '432', '172']
['159', '476', '462', '455', '74']
['243', '475', '395', '205', '59']
['372', '363', '25', '231', '35']
['468', '274', '271', '264', '446']
['344', '1', '333', '154', '208']
['470', '147', '119', '448', '111']
['310', '8', '49', '412', '424']
['42', '161', '383', '262', '472']
['52', '315', '328', '259', '403']
['437', '105', '200', '183', '284']
