['a198', 'a367', 'a241', 'a17', 'a164', 'a106', 'a188', 'a110', 'a290', 'a174', 'a292', 'a80', 'a344', 'a26', 'a274', 'a22', 'a36', 'a77', 'a70', 'a329']
['a201', 'a40', 'a339', 'a338', 'a340', 'a310', 'a393', 'a334', 'a93', 'a197', 'a64', 'a120', 'a111', 'a181', 'a189', 'a230', 'a333', 'a11', 'a97', 'a303']
['a90', 'a177', 'a86', 'a308', 'a0', 'a270', 'a235', 'a239', 'a19', 'a170', 'a52', 'a265', 'a137', 'a1', 'a107', 'a399', 'a165', 'a269', 'a4', 'a8']
['a169', 'a115', 'a268', 'a99', 'a289', 'a142', 'a129', 'a210', 'a124', 'a62', 'a300', 'a18', 'a382', 'a217', 'a207', 'a343', 'a53', 'a42', 'a65', 'a171']
['a309', 'a221', 'a172', 'a78', 'a167', 'a360', 'a231', 'a155', 'a89', 'a275', 'a46', 'a200', 'a306', 'a294', 'a372', 'a98', 'a214', 'a237', 'a55', 'a355']
['a138', 'a277', 'a182', 'a202', 'a160', 'a56', 'a39', 'a108', 'a245', 'a47', 'a206', 'a374', 'a186', 'a139', 'a118', 'a184', 'a84', 'a276', 'a117', 'a243']
['a12', 'a199', 'a91', 'a216', 'a379', 'a81', 'a156', 'a322', 'a163', 'a50', 'a103', 'a51', 'a21', 'a6', 'a23', 'a317', 'a244', 'a82', 'a44', 'a135']
['a61', 'a113', 'a133', 'a143', 'a132', 'a378', 'a321', 'a291', 'a215', 'a273', 'a20', 'a377', 'a242', 'a94', 'a295', 'a352', 'a305', 'a224', 'a395', 'a29']
['a361', 'a394', 'a76', 'a149', 'a246', 'a49', 'a146', 'a30', 'a222', 'a153', 'a350', 'a398', 'a127', 'a383', 'a157', 'a257', 'a175', 'a180', 'a220', 'a102']
['a147', 'a258', 'a261', 'a5', 'a205', 'a168', 'a134', 'a256', 'a332', 'a363', 'a173', 'a28', 'a128', 'a285', 'a34', 'a79', 'a255', 'a311', 'a347', 'a282']
['a15', 'a229', 'a203', 'a211', 'a252', 'a57', 'a336', 'a228', 'a371', 'a60', 'a208', 'a351', 'a152', 'a387', 'a240', 'a345', 'a109', 'a14', 'a195', 'a96']
['a357', 'a68', 'a58', 'a315', 'a249', 'a145', 'a140', 'a253', 'a59', 'a386', 'a232', 'a194', 'a32', 'a151', 'a267', 'a225', 'a349', 'a71', 'a266', 'a66']
['a130', 'a119', 'a384', 'a385', 'a144', 'a24', 'a54', 'a43', 'a263', 'a281', 'a25', 'a327', 'a190', 'a136', 'a254', 'a324', 'a85', 'a313', 'a104', 'a302']
['a233', 'a166', 'a287', 'a126', 'a348', 'a10', 'a279', 'a16', 'a298', 'a278', 'a326', 'a191', 'a250', 'a388', 'a293', 'a3', 'a41', 'a368', 'a38', 'a337']
['a264', 'a314', 'a259', 'a209', 'a92', 'a346', 'a353', 'a325', 'a381', 'a227', 'a101', 'a307', 'a262', 'a35', 'a123', 'a72', 'a299', 'a341', 'a320', 'a234']
['a9', 'a369', 'a162', 'a185', 'a296', 'a247', 'a63', 'a356', 'a248', 'a33', 'a319', 'a396', 'a13', 'a114', 'a376', 'a148', 'a176', 'a74', 'a159', 'a131']
['a391', 'a125', 'a359', 'a364', 'a330', 'a112', 'a154', 'a236', 'a323', 'a335', 'a204', 'a366', 'a358', 'a67', 'a178', 'a219', 'a390', 'a342', 'a389', 'a121']
['a141', 'a373', 'a283', 'a316', 'a187', 'a122', 'a73', 'a271', 'a158', 'a284', 'a286', 'a297', 'a88', 'a238', 'a105', 'a100', 'a7', 'a354', 'a375', 'a301']
['a212', 'a2', 'a161', 'a45', 'a312', 'a192', 'a362', 'a150', 'a116', 'a397', 'a75', 'a193', 'a213', 'a31', 'a183', 'a37', 'a304', 'a196', 'a392', 'a27']
['a318', 'a328', 'a223', 'a370', 'a48', 'a272', 'a251', 'a95', 'a331', 'a365', 'a288', 'a83', 'a179', 'a280', 'a260', 'a226', 'a69', 'a218', 'a380', 'a87']
