['380', '381', '382', '383', '384', '385', '386', '387', '388', '389', '390', '391', '392', '393', '394', '395', '396', '0', '20', '40']
['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '22', '23']
['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '42', '43', '44', '45']
['46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '1', '41', '61', '63', '65', '67']
['69', '71', '73', '75', '77', '79', '81', '83', '85', '87', '89', '91', '93', '95', '97', '99', '101', '103', '105', '107']
['109', '111', '113', '115', '117', '119', '121', '123', '125', '127', '129', '131', '133', '135', '137', '139', '141', '143', '145', '147']
['149', '151', '153', '155', '157', '159', '161', '163', '165', '167', '169', '171', '173', '175', '177', '179', '181', '183', '185', '187']
['189', '191', '193', '195', '197', '199', '201', '203', '205', '207', '209', '211', '213', '215', '217', '219', '221', '223', '225', '227']
['229', '231', '233', '235', '237', '239', '241', '243', '245', '247', '249', '251', '253', '255', '257', '259', '261', '263', '265', '267']
['269', '271', '273', '275', '277', '279', '281', '283', '285', '287', '289', '291', '293', '295', '297', '299', '301', '303', '305', '307']
['309', '311', '313', '315', '317', '319', '321', '323', '325', '327', '329', '331', '333', '335', '337', '339', '341', '343', '345', '347']
['349', '351', '353', '355', '357', '359', '361', '363', '365', '367', '369', '371', '373', '375', '377', '379', '398', '21', '62', '66']
['70', '74', '78', '82', '86', '90', '94', '98', '102', '106', '110', '114', '118', '122', '126', '130', '134', '138', '142', '146']
['150', '154', '158', '162', '166', '170', '174', '178', '182', '186', '190', '194', '198', '202', '206', '210', '214', '218', '222', '226']
['230', '234', '238', '242', '246', '250', '254', '258', '262', '266', '270', '274', '278', '282', '286', '290', '294', '298', '302', '306']
['310', '314', '318', '322', '326', '330', '334', '338', '342', '346', '350', '354', '358', '362', '366', '370', '374', '378', '399', '60']
['68', '76', '84', '92', '100', '108', '116', '124', '132', '140', '148', '156', '164', '172', '180', '188', '196', '204', '212', '220']
['228', '236', '244', '252', '260', '268', '276', '284', '292', '300', '308', '316', '324', '332', '340', '348', '356', '364', '372', '397']
['64', '80', '96', '112', '128', '144', '160', '176', '192', '208', '224', '240', '256', '272', '288', '304', '320', '336', '352', '368']
['72', '104', '136', '168', '200', '232', '264', '296', '328', '360', '88', '152', '216', '280', '344', '120', '248', '376', '184', '312']
