['0', '30', 'A0']
['1', '31', 'H0']
['2', '32', 'C54']
['3', '33', 'C0']
['4', '34', 'E0']
['5', '35', 'G0']
['6', '36', 'B1']
['7', '37', 'D1']
['8', '38', 'F1']
['9', '39', 'H1']
['10', '40', 'B2']
['11', '41', 'D2']
['12', '42', 'F2']
['13', '43', 'H2']
['14', '44', 'B3']
['15', '45', 'D3']
['16', '46', 'F3']
['17', '47', 'H3']
['18', '48', 'B4']
['19', '49', 'D4']
['20', '50', 'F4']
['21', '51', 'H4']
['22', '52', 'B5']
['23', '53', 'D5']
['24', '54', 'F5']
['25', '55', 'H5']
['26', '56', 'B6']
['27', '57', 'D6']
['28', '58', 'F6']
['29', '59', 'H6']
['B7', 'D7', 'F7']
['H7', 'B8', 'D8']
['F8', 'H8', 'B9']
['D9', 'F9', 'H9']
['B10', 'D10', 'F10']
['H10', 'B11', 'D11']
['F11', 'H11', 'B12']
['D12', 'F12', 'H12']
['B13', 'D13', 'F13']
['H13', 'B14', 'D14']
['F14', 'H14', 'B15']
['D15', 'F15', 'H15']
['B16', 'D16', 'F16']
['H16', 'B17', 'D17']
['F17', 'H17', 'B18']
['D18', 'F18', 'H18']
['B19', 'D19', 'F19']
['H19', 'B20', 'D20']
['F20', 'H20', 'B21']
['D21', 'F21', 'H21']
['B22', 'D22', 'F22']
['H22', 'B23', 'D23']
['F23', 'H23', 'B24']
['D24', 'F24', 'H24']
['B25', 'D25', 'F25']
['H25', 'B26', 'D26']
['F26', 'H26', 'B27']
['D27', 'F27', 'H27']
['B28', 'D28', 'F28']
['H28', 'B29', 'D29']
['F29', 'H29', 'B30']
['D30', 'F30', 'H30']
['B31', 'D31', 'F31']
['H31', 'B32', 'D32']
['F32', 'H32', 'B33']
['D33', 'F33', 'H33']
['B34', 'D34', 'F34']
['H34', 'B35', 'D35']
['F35', 'H35', 'B36']
['D36', 'F36', 'H36']
['B37', 'D37', 'F37']
['H37', 'B38', 'D38']
['F38', 'H38', 'B39']
['D39', 'F39', 'H39']
['B40', 'D40', 'F40']
['H40', 'B41', 'D41']
['F41', 'H41', 'B42']
['D42', 'F42', 'H42']
['B43', 'D43', 'F43']
['H43', 'B44', 'D44']
['F44', 'H44', 'B45']
['D45', 'F45', 'H45']
['B46', 'D46', 'F46']
['H46', 'B47', 'D47']
['F47', 'H47', 'B48']
['D48', 'F48', 'H48']
['B49', 'D49', 'F49']
['H49', 'B50', 'D50']
['F50', 'H50', 'B51']
['D51', 'F51', 'H51']
['B52', 'D52', 'F52']
['H52', 'B53', 'D53']
['F53', 'H53', 'B54']
['E54', 'G54', 'B0']
['F0', 'C1', 'G1']
['C2', 'G2', 'C3']
['G3', 'C4', 'G4']
['C5', 'G5', 'C6']
['G6', 'C7', 'G7']
['C8', 'G8', 'C9']
['G9', 'C10', 'G10']
['C11', 'G11', 'C12']
['G12', 'C13', 'G13']
['C14', 'G14', 'C15']
['G15', 'C16', 'G16']
['C17', 'G17', 'C18']
['G18', 'C19', 'G19']
['C20', 'G20', 'C21']
['G21', 'C22', 'G22']
['C23', 'G23', 'C24']
['G24', 'C25', 'G25']
['C26', 'G26', 'C27']
['G27', 'C28', 'G28']
['C29', 'G29', 'C30']
['G30', 'C31', 'G31']
['C32', 'G32', 'C33']
['G33', 'C34', 'G34']
['C35', 'G35', 'C36']
['G36', 'C37', 'G37']
['C38', 'G38', 'C39']
['G39', 'C40', 'G40']
['C41', 'G41', 'C42']
['G42', 'C43', 'G43']
['C44', 'G44', 'C45']
['G45', 'C46', 'G46']
['C47', 'G47', 'C48']
['G48', 'C49', 'G49']
['C50', 'G50', 'C51']
['G51', 'C52', 'G52']
['C53', 'G53', 'D54']
['H54', 'D0', 'E1']
['E2', 'E3', 'E4']
['E5', 'E6', 'E7']
['E8', 'E9', 'E10']
['E11', 'E12', 'E13']
['E14', 'E15', 'E16']
['E17', 'E18', 'E19']
['E20', 'E21', 'E22']
['E23', 'E24', 'E25']
['E26', 'E27', 'E28']
['E29', 'E30', 'E31']
['E32', 'E33', 'E34']
['E35', 'E36', 'E37']
['E38', 'E39', 'E40']
['E41', 'E42', 'E43']
['E44', 'E45', 'E46']
['E47', 'E48', 'E49']
['E50', 'E51', 'E52']
['E53', 'F54', 'A1']
['A3', 'A5', 'A7']
['A9', 'A11', 'A13']
['A15', 'A17', 'A19']
['A21', 'A23', 'A25']
['A27', 'A29', 'A31']
['A33', 'A35', 'A37']
['A39', 'A41', 'A43']
['A45', 'A47', 'A49']
['A51', 'A53', 'A2']
['A6', 'A10', 'A14']
['A18', 'A22', 'A26']
['A30', 'A34', 'A38']
['A42', 'A46', 'A50']
['A54', 'A4', 'A12']
['A20', 'A28', 'A36']
['A44', 'A52', 'A8']
['A24', 'A40', 'A16']
['A48', 'A32']
