['246', '122']
['69', '313']
['321', '155']
['42', '467']
['157', '103']
['163', '124']
['358', '176']
['362', '9']
['318', '419']
['40', '185']
['147', '190']
['258', '333']
['245', '356']
['355', '153']
['141', '486']
['45', '487']
['435', '224']
['238', '91']
['496', '344']
['296', '22']
['12', '215']
['464', '278']
['2', '441']
['268', '479']
['24', '456']
['385', '64']
['254', '209']
['241', '35']
['15', '149']
['116', '108']
['0', '3']
['5', '7']
['10', '13']
['16', '18']
['20', '23']
['26', '28']
['30', '32']
['34', '37']
['39', '43']
['46', '48']
['50', '52']
['54', '56']
['58', '60']
['62', '65']
['67', '70']
['72', '74']
['76', '78']
['80', '82']
['84', '86']
['88', '90']
['93', '95']
['97', '99']
['101', '104']
['106', '109']
['111', '113']
['115', '118']
['120', '123']
['126', '128']
['130', '132']
['134', '136']
['138', '140']
['143', '145']
['148', '151']
['154', '158']
['160', '162']
['165', '167']
['169', '171']
['173', '175']
['178', '180']
['182', '184']
['187', '189']
['192', '194']
['196', '198']
['200', '202']
['204', '206']
['208', '211']
['213', '216']
['218', '220']
['222', '225']
['227', '229']
['231', '233']
['235', '237']
['240', '243']
['247', '249']
['251', '253']
['256', '259']
['261', '263']
['265', '267']
['270', '272']
['274', '276']
['279', '281']
['283', '285']
['287', '289']
['291', '293']
['295', '298']
['300', '302']
['304', '306']
['308', '310']
['312', '315']
['317', '320']
['323', '325']
['327', '329']
['331', '334']
['336', '338']
['340', '342']
['345', '347']
['349', '351']
['353', '357']
['360', '363']
['365', '367']
['369', '371']
['373', '375']
['377', '379']
['381', '383']
['386', '388']
['390', '392']
['394', '396']
['398', '400']
['402', '404']
['406', '408']
['410', '412']
['414', '416']
['418', '421']
['423', '425']
['427', '429']
['431', '433']
['436', '438']
['440', '443']
['445', '447']
['449', '451']
['453', '455']
['458', '460']
['462', '465']
['468', '470']
['472', '474']
['476', '478']
['481', '483']
['485', '489']
['491', '493']
['495', '498']
['1', '6']
['11', '17']
['21', '27']
['31', '36']
['41', '47']
['51', '55']
['59', '63']
['68', '73']
['77', '81']
['85', '89']
['94', '98']
['102', '107']
['112', '117']
['121', '127']
['131', '135']
['139', '144']
['150', '156']
['161', '166']
['170', '174']
['179', '183']
['188', '193']
['197', '201']
['205', '210']
['214', '219']
['223', '228']
['232', '236']
['242', '248']
['252', '257']
['262', '266']
['271', '275']
['280', '284']
['288', '292']
['297', '301']
['305', '309']
['314', '319']
['324', '328']
['332', '337']
['341', '346']
['350', '354']
['361', '366']
['370', '374']
['378', '382']
['387', '391']
['395', '399']
['403', '407']
['411', '415']
['420', '424']
['428', '432']
['437', '442']
['446', '450']
['454', '459']
['463', '469']
['473', '477']
['482', '488']
['492', '497']
['4', '14']
['25', '33']
['44', '53']
['61', '71']
['79', '87']
['96', '105']
['114', '125']
['133', '142']
['152', '164']
['172', '181']
['191', '199']
['207', '217']
['226', '234']
['244', '255']
['264', '273']
['282', '290']
['299', '307']
['316', '326']
['335', '343']
['352', '364']
['372', '380']
['389', '397']
['405', '413']
['422', '430']
['439', '448']
['457', '466']
['475', '484']
['494', '8']
['29', '49']
['66', '83']
['100', '119']
['137', '159']
['177', '195']
['212', '230']
['250', '269']
['286', '303']
['322', '339']
['359', '376']
['393', '409']
['426', '444']
['461', '480']
['499', '19']
['57', '92']
['129', '168']
['203', '239']
['277', '311']
['348', '384']
['417', '452']
['490', '38']
['110', '186']
['260', '330']
['401', '471']
['75', '221']
['368', '146']
['434', '294']
