['a164', 'a169', 'a160', 'a168', 'a72', 'a120', 'a129', 'a127', 'a121', 'a124']
['a167', 'a70', 'a123', 'a128', 'a13', 'a15', 'a11', 'a12', 'a16', 'a18']
['a14', 'a10', 'a8', 'a2', 'a5', 'a9', 'a7', 'a103', 'a107', 'a105']
['a19', 'a100', 'a104', 'a102', 'a106', 'a136', 'a131', 'a138', 'a134', 'a130']
['a139', 'a135', 'a132', 'a137', 'a133', 'a4', 'a1', 'a6', 'a189', 'a184']
['a181', 'a182', 'a180', 'a186', 'a149', 'a147', 'a141', 'a145', 'a144', 'a143']
['a140', 'a3', 'a213', 'a210', 'a218', 'a211', 'a155', 'a154', 'a153', 'a150']
['a214', 'a157', 'a152', 'a158', 'a170', 'a175', 'a173', 'a177', 'a171', 'a179']
['a156', 'a159', 'a172', 'a178', 'a174', 'a176', 'a113', 'a117', 'a116', 'a17']
['a151', 'a118', 'a206', 'a201', 'a208', 'a203', 'a22', 'a20', 'a27', 'a0']
['a204', 'a28', 'a191', 'a194', 'a195', 'a193', 'a199', 'a197', 'a196', 'a192']
['a190', 'a198', 'a114', 'a115', 'a111', 'a110', 'a112', 'a142', 'a217', 'a219']
['a88', 'a87', 'a89', 'a86', 'a241', 'a245', 'a246', 'a240', 'a68', 'a67']
['a84', 'a243', 'a64', 'a65', 'a61', 'a62', 'a109', 'a188', 'a183', 'a187']
['a215', 'a212', 'a216', 'a220', 'a223', 'a224', 'a228', 'a221', 'a222', 'a229']
['a226', 'a227', 'a101', 'a108', 'a48', 'a47', 'a44', 'a40', 'a38', 'a33']
['a225', 'a43', 'a37', 'a34', 'a31', 'a39', 'a32', 'a35', 'a185', 'a73']
['a30', 'a79', 'a76', 'a126', 'a41', 'a207', 'a244', 'a242', 'a249', 'a248']
['a200', 'a202', 'a209', 'a205', 'a78', 'a71', 'a247', 'a45', 'a46', 'a119']
['a24', 'a21', 'a36', 'a148', 'a146', 'a42', 'a49', 'a57', 'a58', 'a125']
['a59', 'a122', 'a93', 'a92', 'a96', 'a95', 'a91', 'a29', 'a56', 'a77']
['a99', 'a53', 'a74', 'a26', 'a23', 'a25', 'a85', 'a80', 'a83', 'a166']
['a161', 'a163', 'a165', 'a82', 'a81', 'a69', 'a63', 'a162', 'a75', 'a94']
['a98', 'a60', 'a52', 'a238', 'a235', 'a234', 'a236', 'a232', 'a233', 'a230']
['a55', 'a237', 'a239', 'a231', 'a66', 'a51', 'a50', 'a54', 'a97', 'a90']
