['6', '12', '13', '14', '15', '16']
['7', '17', '18', '19', '20', '21']
['8', '22', '23', '1', '2', '3']
['9', '24', '36', '38', '40', '54']
['10', '25', '37', '39', '41', '55']
['11', '56', '60', '61', '62', '63']
['57', '64', '65', '66', '67', '68']
['58', '69', '70', '71', '49', '50']
['59', '51', '72', '84', '86', '88']
['73', '85', '87', '89', '102', '108']
['103', '109', '110', '111', '112', '113']
['104', '114', '115', '116', '117', '118']
['105', '119', '97', '98', '99', '120']
['106', '121', '132', '134', '136', '150']
['107', '133', '135', '137', '151', '156']
['152', '157', '158', '159', '160', '161']
['153', '162', '163', '164', '165', '166']
['154', '167', '145', '146', '147', '168']
['155', '169', '180', '182', '184', '198']
['181', '183', '185', '199', '204', '205']
['200', '206', '207', '208', '209', '210']
['201', '211', '212', '213', '214', '215']
['202', '193', '194', '195', '216', '228']
['203', '217', '229', '230', '232', '246']
['231', '233', '247', '252', '253', '254']
['248', '255', '256', '257', '258', '259']
['249', '260', '261', '262', '263', '241']
['250', '242', '243', '264', '276', '278']
['251', '265', '277', '279', '280', '294']
['281', '295', '300', '301', '302', '303']
['296', '304', '305', '306', '307', '308']
['297', '309', '310', '311', '289', '290']
['298', '291', '312', '324', '326', '328']
['299', '313', '325', '327', '329', '342']
['343', '348', '349', '350', '351', '352']
['344', '353', '354', '355', '356', '357']
['345', '358', '359', '337', '338', '339']
['346', '360', '372', '374', '376', '390']
['347', '361', '373', '375', '377', '391']
['392', '396', '397', '398', '399', '400']
['393', '401', '402', '403', '404', '405']
['394', '406', '407', '385', '386', '387']
['395', '408', '420', '422', '424', '0']
['409', '421', '423', '425', '5', '27']
['29', '31', '33', '35', '43', '45']
['47', '52', '74', '76', '78', '80']
['82', '90', '92', '94', '96', '101']
['123', '125', '127', '129', '131', '139']
['141', '143', '148', '170', '172', '174']
['176', '178', '186', '188', '190', '192']
['197', '219', '221', '223', '225', '227']
['235', '237', '239', '244', '266', '268']
['270', '272', '274', '282', '284', '286']
['288', '293', '315', '317', '319', '321']
['323', '331', '333', '335', '340', '362']
['364', '366', '368', '370', '378', '380']
['382', '384', '389', '411', '413', '414']
['419', '418', '427', '429', '431', '4']
['28', '32', '42', '46', '53', '77']
['81', '91', '95', '122', '126', '130']
['140', '144', '171', '175', '179', '189']
['196', '220', '224', '234', '238', '245']
['269', '273', '283', '287', '314', '318']
['322', '332', '336', '363', '367', '371']
['381', '388', '412', '416', '426', '430']
['26', '34', '48', '79', '93', '124']
['138', '149', '177', '191', '222', '236']
['267', '275', '292', '320', '334', '365']
['379', '410', '417', '30', '75', '100']
['142', '187', '226', '271', '316', '341']
['383', '428', '44', '128', '218', '285']
['369', '83', '240', '415', '173', '330']
