['33', '325', '85']
['377', '351', '94']
['135', '432', '347']
['384', '216', '415']
['234', '178', '156']
['319', '482', '250']
['106', '403', '260']
['466', '408', '18']
['69', '161', '396']
['226', '163', '4']
['302', '152', '400']
['137', '420', '454']
['300', '237', '223']
['199', '344', '195']
['215', '392', '7']
['40', '120', '283']
['463', '399', '258']
['362', '277', '59']
['444', '495', '140']
['461', '167', '55']
['151', '449', '485']
['295', '71', '88']
['272', '115', '275']
['368', '142', '107']
['191', '453', '3']
['436', '459', '417']
['90', '315', '296']
['353', '154', '263']
['416', '32', '166']
['79', '411', '100']
['211', '372', '54']
['162', '183', '441']
['426', '8', '141']
['339', '486', '429']
['435', '345', '365']
['160', '204', '385']
['84', '229', '401']
['349', '205', '109']
['422', '86', '99']
['219', '369', '206']
['104', '469', '202']
['314', '92', '440']
['282', '172', '480']
['265', '397', '83']
['286', '58', '488']
['20', '26', '150']
['394', '337', '363']
['269', '179', '214']
['103', '72', '316']
['165', '122', '189']
['190', '343', '131']
['261', '371', '483']
['15', '460', '182']
['68', '203', '442']
['308', '357', '389']
['16', '181', '414']
['323', '428', '374']
['273', '70', '95']
['456', '249', '116']
['67', '390', '75']
['11', '270', '105']
['367', '450', '328']
['484', '209', '443']
['376', '149', '170']
['467', '124', '478']
['297', '110', '322']
['9', '299', '38']
['37', '458', '78']
['327', '477', '159']
['146', '5', '391']
['65', '101', '213']
['248', '93', '25']
['63', '96', '425']
['496', '276', '6']
['233', '301', '383']
['168', '240', '147']
['177', '148', '262']
['271', '433', '184']
['227', '56', '305']
['87', '291', '342']
['225', '294', '278']
['111', '43', '380']
['185', '341', '30']
['39', '125', '329']
['430', '119', '73']
['66', '192', '200']
['108', '499', '231']
['465', '186', '381']
['134', '126', '145']
['424', '121', '303']
['114', '320', '333']
['64', '427', '22']
['24', '220', '34']
['419', '222', '254']
['464', '235', '244']
['51', '413', '12']
['447', '492', '212']
['42', '359', '23']
['17', '307', '230']
['35', '405', '375']
['398', '462', '81']
['169', '176', '14']
['438', '334', '266']
['98', '474', '310']
['1', '360', '97']
['155', '309', '423']
['346', '481', '487']
['379', '201', '304']
['437', '293', '246']
['332', '338', '472']
['187', '421', '476']
['354', '193', '175']
['410', '306', '49']
['208', '242', '102']
['28', '61', '321']
['267', '44', '52']
['370', '407', '264']
['41', '47', '158']
['133', '128', '418']
['247', '497', '143']
['470', '238', '80']
['434', '113', '77']
['455', '292', '210']
['326', '236', '13']
['218', '318', '153']
['2', '132', '36']
['31', '279', '468']
['19', '27', '243']
['174', '386', '324']
['431', '479', '298']
['409', '232', '274']
['352', '45', '127']
['76', '382', '452']
['62', '241', '117']
['439', '446', '10']
['445', '402', '118']
['288', '194', '312']
['284', '217', '60']
['388', '139', '157']
['123', '493', '404']
['366', '355', '387']
['136', '256', '285']
['144', '473', '491']
['207', '196', '53']
['330', '29', '252']
['348', '490', '138']
['251', '287', '259']
['340', '188', '224']
['253', '228', '0']
['74', '361', '378']
['281', '50', '406']
['489', '221', '448']
['255', '290', '471']
['198', '91', '289']
['268', '457', '164']
['46', '89', '373']
['356', '311', '48']
['331', '412', '393']
['57', '498', '336']
['335', '364', '129']
['494', '173', '112']
['239', '451', '180']
['280', '358', '475']
['197', '82', '317']
['395', '171', '130']
['21', '313', '245']
['350', '257']
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
