['464', '38', '444', '33', '382', '207', '28', '448', '415', '281', '365', '105']
['372', '419', '82', '118', '100', '113', '46', '44', '313', '426', '11', '51']
['172', '6', '254', '211', '273', '55', '235', '392', '439', '269', '478', '404']
['40', '220', '495', '16', '169', '30', '325', '422', '0', '75', '221', '399']
['99', '340', '148', '423', '499', '377', '65', '144', '17', '302', '58', '24']
['387', '184', '329', '237', '106', '367', '290', '49', '263', '143', '70', '381']
['201', '400', '453', '194', '127', '408', '56', '280', '186', '334', '116', '119']
['435', '93', '447', '212', '277', '139', '22', '482', '460', '388', '87', '299']
['371', '23', '149', '146', '248', '164', '272', '13', '231', '317', '488', '170']
['12', '69', '391', '322', '384', '394', '374', '359', '321', '117', '111', '366']
['107', '403', '76', '131', '189', '320', '342', '153', '217', '222', '309', '48']
['147', '59', '443', '354', '330', '165', '457', '73', '413', '208', '228', '177']
['292', '379', '308', '271', '496', '230', '298', '454', '74', '245', '174', '296']
['152', '294', '370', '477', '214', '289', '80', '102', '185', '108', '114', '436']
['259', '483', '151', '14', '315', '32', '261', '3', '84', '421', '344', '395']
['288', '94', '416', '397', '253', '396', '85', '491', '36', '101', '279', '353']
['336', '7', '202', '307', '430', '193', '385', '225', '305', '5', '267', '125']
['150', '224', '312', '246', '104', '479', '356', '442', '226', '492', '175', '81']
['401', '351', '303', '326', '468', '47', '61', '337', '243', '494', '428', '458']
['62', '206', '425', '339', '383', '137', '66', '122', '348', '15', '362', '68']
['168', '327', '26', '311', '145', '293', '310', '489', '440', '287', '96', '251']
['433', '171', '182', '410', '411', '191', '89', '469', '50', '241', '347', '54']
['355', '274', '161', '332', '72', '218', '203', '97', '471', '21', '86', '350']
['2', '328', '244', '434', '276', '301', '234', '19', '389', '42', '369', '158']
['52', '498', '429', '98', '349', '31', '157', '291', '286', '129', '424', '459']
['490', '278', '90', '166', '497', '233', '485', '156', '255', '123', '451', '205']
['282', '324', '95', '441', '78', '209', '27', '437', '197', '331', '130', '427']
['181', '364', '467', '57', '418', '438', '487', '121', '1', '266', '126', '133']
['318', '79', '461', '358', '41', '216', '405', '20', '223', '249', '323', '338']
['265', '432', '360', '493', '45', '316', '398', '124', '53', '319', '346', '472']
['480', '481', '9', '188', '446', '173', '412', '238', '450', '160', '163', '115']
['110', '159', '476', '242', '60', '363', '275', '270', '257', '64', '39', '213']
['345', '219', '134', '71', '204', '268', '210', '192', '462', '155', '341', '29']
['352', '285', '91', '431', '380', '34', '474', '136', '128', '141', '103', '256']
['456', '35', '162', '142', '135', '386', '297', '240', '179', '4', '18', '43']
['178', '67', '83', '92', '112', '132', '140', '167', '183', '190', '196', '199']
['375', '215', '229', '236', '247', '252', '260', '264', '295', '304', '314', '335']
['176', '357', '368', '376', '390', '402', '409', '420', '449', '455', '465', '470']
['406', '484', '8', '63', '88', '120', '154', '187', '198', '227', '239', '258']
['486', '284', '306', '343', '373', '393', '414', '452', '466', '25', '109', '180']
['10', '200', '250', '300', '361', '407', '463', '77', '195', '262', '378', '473']
['283', '138', '333', '232', '445']
['475']
['417']
['37']
