['0', '35', '70', '140']
['55', '110', '220', '175']
['245', '15', '30', '45']
['60', '75', '90', '105']
['120', '135', '150', '165']
['180', '195', '210', '225']
['240', '1', '3', '5']
['7', '9', '11', '13']
['16', '18', '20', '22']
['24', '26', '28', '31']
['33', '36', '38', '40']
['42', '44', '47', '49']
['51', '53', '56', '58']
['61', '63', '65', '67']
['69', '72', '74', '77']
['79', '81', '83', '85']
['87', '89', '92', '94']
['96', '98', '100', '102']
['104', '107', '109', '112']
['114', '116', '118', '121']
['123', '125', '127', '129']
['131', '133', '136', '138']
['141', '143', '145', '147']
['149', '152', '154', '156']
['158', '160', '162', '164']
['167', '169', '171', '173']
['176', '178', '181', '183']
['185', '187', '189', '191']
['193', '196', '198', '200']
['202', '204', '206', '208']
['211', '213', '215', '217']
['219', '222', '224', '227']
['229', '231', '233', '235']
['237', '239', '242', '244']
['247', '249', '2', '6']
['10', '14', '19', '23']
['27', '32', '37', '41']
['46', '50', '54', '59']
['64', '68', '73', '78']
['82', '86', '91', '95']
['99', '103', '108', '113']
['117', '122', '126', '130']
['134', '139', '144', '148']
['153', '157', '161', '166']
['170', '174', '179', '184']
['188', '192', '197', '201']
['205', '209', '214', '218']
['223', '228', '232', '236']
['241', '246', '4', '12']
['21', '29', '39', '48']
['57', '66', '76', '84']
['93', '101', '111', '119']
['128', '137', '146', '155']
['163', '172', '182', '190']
['199', '207', '216', '226']
['234', '243', '8', '25']
['43', '62', '80', '97']
['115', '132', '151', '168']
['186', '203', '221', '238']
['17', '52', '88', '124']
['159', '194', '230', '34']
['106', '177', '248', '71']
['212', '142']
