['j8', 'j6', 'j4', 'j1', 'j10', 'j7', 'j5', 'v6', 'y3', 't8']
['m6', 't10', 't2', 't7', 't3', 't5', 's2', 'p7', 'k4', 'i9']
['k1', 'w8', 'a2', 'y4', 'y9', 'y5', 'j9', 'j3', 'n10', 'k5']
['k9', 'p3', 'p6', 'f10', 'j2', 'd8', 'd5', 'r7', 'd1', 'd2']
['r9', 'd9', 'c6', 'u5', 'u7', 'u9', 'u6', 'u3', 'u4', 'u8']
['u10', 'w3', 'a3', 'a1', 'u1', 'w1', 'w5', 'w9', 'w10', 'w4']
['m3', 'p4', 'p9', 's7', 's9', 's1', 's3', 's8', 's5', 'q4']
['q8', 'q1', 'q2', 'n8', 'o5', 'm2', 'm10', 'm7', 'm9', 'y2']
['h8', 'y1', 'm4', 'm5', 'x8', 'd7', 'd3', 'i10', 'u2', 'v7']
['x3', 'x6', 'f7', 'f9', 'q7', 'q5', 'e1', 'e8', 'e3', 'a4']
['l2', 'n1', 'n6', 'b9', 'b5', 'v5', 'o6', 'o3', 'o4', 'o8']
['y8', 'o1', 'q6', 'q9', 'q10', 'v10', 'y7', 'y6', 'g2', 'k3']
['x7', 'x10', 'l8', 'l5', 'm1', 'a6', 'a9', 'k8', 's10', 's6']
['h6', 'k10', 'i2', 'i7', 'i5', 'i4', 'p8', 'p10', 'p5', 'p2']
['p1', 'e2', 'e4', 'x9', 'f6', 'h5', 't1', 'g1', 'g5', 'c4']
['c5', 'f4', 'h4', 'h10', 'h9', 'y10', 'c10', 'b2', 'g7', 'm8']
['h2', 'h3', 'h1', 't9', 'g9', 'g10', 'g8', 'g6', 'g3', 'r3']
['w6', 'd10', 'f3', 'f8', 'c7', 'd6', 'o7', 'o2', 'b10', 'a8']
['s4', 'r4', 'r2', 'r10', 'r8', 'r5', 'l10', 'v9', 't6', 'l6']
['l4', 'i3', 'x4', 'b1', 'b7', 'b6', 'v8', 'n5', 'n7', 'n9']
['n2', 'b8', 'k6', 'k7', 'o10', 'o9', 'b4', 'n3', 'r6', 'b3']
['x1', 'x2', 'f2', 'x5', 'l3', 't4', 'c3', 'i6', 'i8', 'v3']
['v1', 'l1', 'q3', 'r1', 'c1', 'c9', 'h7', 'a10', 'a5', 'f5']
['d4', 'v2', 'i1', 'a7', 'v4', 'n4', 'k2', 'w2', 'w7', 'c2']
['c8', 'g4', 'e6', 'e10', 'e7', 'e5', 'e9', 'l7', 'f1', 'l9']
