['224', '225', '215', '216', '217', '218', '219', '220', '221', '222', '223', '143', '300', '341', '286', '293', '0', '60', '269', '359', '66', '67', '68', '69', '70', '71', '72', '73', '62', '169', '63', '122', '378', '14', '15', '16', '17', '18', '19', '355']
['149', '397', '97', '20', '316', '338', '305', '174', '175', '176', '177', '178', '179', '180', '181', '182', '183', '8', '9', '10', '11', '13', '401', '30', '394', '398', '399', '400', '402', '403', '404', '405', '406', '199', '109', '327', '77', '280', '27', '50']
['346', '7', '12', '395', '396', '315', '267', '96', '74', '75', '76', '78', '79', '80', '81', '38', '257', '120', '356', '357', '358', '360', '361', '362', '363', '364', '365', '366', '367', '85', '123', '392', '239', '265', '352', '353', '354', '342', '343', '344']
['345', '347', '348', '349', '350', '351', '414', '31', '247', '303', '21', '22', '23', '24', '25', '26', '210', '36', '287', '372', '241', '164', '165', '166', '167', '168', '170', '171', '172', '173', '33', '55', '52', '384', '382', '162', '154', '155', '156', '157']
['310', '160', '161', '163', '158', '159', '132', '128', '129', '130', '131', '133', '134', '126', '127', '249', '317', '271', '152', '263', '82', '84', '87', '88', '89', '139', '141', '205', '261', '416', '187', '302', '227', '64', '65', '59', '61', '42', '43', '44']
['47', '83', '86', '58', '45', '46', '48', '49', '195', '194', '196', '197', '198', '200', '201', '202', '203', '248', '99', '100', '101', '102', '103', '104', '105', '106', '107', '259', '260', '262', '264', '266', '268', '284', '322', '417', '418', '407', '408', '409']
['419', '410', '411', '412', '413', '415', '119', '288', '289', '290', '291', '292', '282', '283', '285', '326', '311', '98', '306', '118', '121', '124', '125', '334', '307', '226', '228', '229', '230', '231', '232', '233', '234', '235', '236', '295', '340', '112', '273', '92']
['117', '189', '6', '386', '56', '150', '246', '110', '116', '301', '145', '192', '144', '146', '147', '148', '151', '153', '294', '320', '321', '323', '325', '328', '329', '319', '185', '337', '330', '331', '332', '333', '335', '336', '339', '274', '251', '5', '387', '388']
['324', '318', '111', '385', '389', '390', '391', '393', '381', '383', '32', '90', '91', '93', '94', '95', '137', '4', '304', '278', '51', '256', '188', '53', '54', '57', '213', '39', '270', '240', '113', '272', '275', '276', '277', '281', '377', '208', '242', '34']
['214', '37', '255', '279', '296', '373', '40', '41', '204', '140', '380', '368', '369', '370', '371', '374', '375', '376', '379', '206', '207', '209', '211', '212', '237', '238', '243', '244', '245', '254', '136', '108', '114', '115', '190', '29', '1', '2', '3', '186']
['35', '297', '308', '193', '298', '142', '299', '258', '253', '313', '314', '184', '312', '252', '138', '250', '191', '135', '309', '28']
