['11', '241', '41', '59', '2', '69', '142', '155', '108', '106', '255', '249', '22', '3', '76', '19', '54', '186', '87', '145', '28']
['27', '272', '358', '216', '58', '96', '346', '115', '146', '355', '286', '319', '323', '362', '236', '328', '252', '349', '110', '112', '105']
['258', '277', '7', '261', '196', '102', '231', '42', '271', '12', '46', '375', '17', '111', '177', '225', '308', '14', '118', '235', '70']
['184', '326', '320', '350', '168', '100', '386', '348', '311', '315', '396', '394', '126', '287', '307', '131', '363', '198', '188', '144', '45']
['302', '37', '212', '16', '400', '44', '60', '333', '342', '5', '209', '220', '13', '207', '48', '215', '194', '151', '25', '217', '20']
['259', '163', '36', '147', '329', '185', '353', '195', '369', '24', '63', '341', '33', '8', '373', '132', '57', '71', '101', '243', '247']
['325', '290', '305', '170', '303', '35', '230', '245', '226', '80', '74', '251', '97', '201', '114', '139', '103', '53', '332', '95', '268']
['270', '380', '282', '284', '149', '364', '203', '84', '351', '296', '52', '141', '335', '392', '159', '9', '208', '175', '121', '56', '254']
['206', '367', '167', '165', '368', '193', '378', '219', '294', '388', '197', '248', '281', '181', '263', '173', '211', '32', '218', '340', '21']
['397', '29', '306', '278', '336', '150', '134', '164', '371', '40', '347', '88', '98', '38', '122', '43', '310', '313', '61', '1', '383']
['117', '89', '127', '172', '116', '304', '339', '390', '129', '275', '398', '356', '158', '123', '171', '140', '264', '6', '91', '26', '312']
['176', '81', '372', '222', '359', '337', '130', '178', '18', '395', '189', '389', '213', '321', '148', '301', '274', '357', '64', '10', '78']
['331', '267', '324', '376', '365', '289', '384', '202', '297', '153', '224', '354', '190', '280', '180', '283', '204', '343', '83', '34', '262']
['240', '377', '228', '125', '260', '152', '309', '31', '119', '338', '250', '285', '374', '391', '192', '318', '99', '238', '210', '50', '93']
['381', '205', '85', '291', '232', '65', '179', '39', '128', '288', '120', '256', '293', '169', '143', '299', '244', '157', '233', '79', '124']
['246', '66', '276', '345', '109', '113', '92', '138', '67', '51', '237', '298', '292', '4', '265', '107', '214', '137', '133', '269', '242']
['300', '327', '385', '322', '86', '295', '314', '75', '82', '187', '30', '154', '352', '382', '55', '104', '62', '370', '221', '166', '182']
['344', '227', '174', '183', '47', '253', '334', '360', '387', '191', '15', '239', '330', '279', '223', '379', '399', '266', '199', '229', '156']
['94', '200', '366', '257', '90', '68', '316', '135', '317', '73', '23', '136', '49', '273', '77', '162', '72', '161', '234', '361', '393']
['160']
